"Table 1.8: Mongolia Input-Output Table (35x35), 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 157 , 3 , 504 , 85 , 23 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 3 , 3 , 0 , 0 , 0 , 16 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 4 , 9 , 2 , 1 , -   , 453 , 0 , 0 , 461 , 407 , 151 ," 2,287 ",,
Mining and quarrying,c2, 7 , 104 , 7 , 2 , 0 , 1 , 1 , 114 , 1 , 1 , 11 , 14 , 1 , 1 , 0 , 1 , 40 , 119 , 1 , 6 , 4 , 4 , 7 , 0 , 3 , 3 , 4 , 5 , 7 , 34 , 25 , 7 , 3 , 4 , -   , 48 , 0 , 13 , 147 , 488 ," 2,767 "," 4,003 ",,
"Food, beverages, and tobacco",c3, 10 , 3 , 75 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 2 , 0 , 38 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 4 , 14 , 3 , 3 , -   ," 1,201 ", 0 , 0 , 1 , 115 , 13 ," 1,490 ",,
Textiles and textile products,c4, 0 , 6 , 1 , 39 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 7 , 0 , 2 , 2 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 3 , 8 , 6 , 1 , 1 , -   , 160 , 0 , 0 , 5 , 21 , 61 , 335 ,,
"Leather, leather products, and footwear",c5, 0 , 1 , 0 , 6 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , -   , 29 , 0 , 0 , 0 , 3 , 10 , 57 ,,
Wood and products of wood and cork,c6, 1 , 1 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 18 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , -   , 5 , 0 , 0 , 3 , 13 , 2 , 63 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 2 , 10 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 5 , 0 , 4 , 3 , 1 , 0 , 1 , -   , 26 , 0 , 0 , 2 , 10 , 1 , 77 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 6 , 38 , 1 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 3 , 41 , 1 , 5 , 8 , 2 , 72 , -   , 7 , 12 , 1 , 2 , 0 , 4 , 5 , 2 , 4 , 1 , -   , 64 , -   , -   , -   , 18 , 66 , 370 ,,
Chemicals and chemical products,c9, 5 , 9 , 1 , 1 , 0 , 0 , 1 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 5 , 0 , -   , 9 , 0 , 0 , 0 , 9 , 0 , 52 ,,
Rubber and plastics,c10, 1 , 5 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 0 , 0 , 6 , 0 , 35 ,,
Other nonmetallic minerals,c11, 0 , 8 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 18 , 0 , 0 , 0 , 0 , 0 , 4 , 121 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 1 , 1 , 0 , 0 , -   , 9 , 0 , 0 , 8 , 17 , 10 , 217 ,,
Basic metals and fabricated metal,c12, 0 , 21 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 4 , 0 , 0 , 0 , 0 , 3 , 33 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , -   , 1 , 0 , 0 , 12 , 10 , 30 , 122 ,,
"Machinery, nec",c13, 1 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 4 , 3 , 1 , 0 , 1 , -   , 4 , 0 , 1 , 5 , 1 , 4 , 39 ,,
Electrical and optical equipment,c14, 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , -   , 1 , 0 , 0 , 12 , 2 , 1 , 28 ,,
Transport equipment,c15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , 2 ,,
"Manufacturing, nec; recycling",c16, 2 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , -   , 3 , 0 , 0 , 6 , 3 , 2 , 26 ,,
"Electricity, gas, and water supply",c17, 8 , 65 , 3 , 1 , 0 , 1 , 1 , 2 , 1 , 1 , 4 , 1 , 1 , 0 , 0 , 0 , 291 , 19 , 1 , 7 , 5 , 5 , 9 , 0 , 4 , 3 , 4 , 7 , 6 , 40 , 33 , 9 , 4 , 8 , -   , 62 , 10 , 66 , 24 , 0 , 36 , 742 ,,
Construction,c18, 6 , 155 , 6 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 3 , 1 , 1 , 0 , 0 , 0 , 18 , 194 , 2 , 4 , 4 , 3 , 5 , 0 , 0 , 1 , 1 , 1 , 39 , 9 , 7 , 4 , 1 , 3 , -   , 37 , 0 , 0 ," 2,021 ", 4 , 45 ," 2,580 ",,
"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel",c19, 3 , 12 , 7 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 13 , 0 , 1 , 1 , 1 , 6 , 0 , 1 , 2 , 1 , 1 , 1 , 4 , 2 , 1 , 1 , 1 , -   , 41 , 0 , 1 , 25 , 0 , 27 , 159 ,,
"Wholesale trade and commission trade, except of motor vehicles and motorcycles",c20, 20 , 72 , 49 , 13 , 2 , 2 , 2 , 7 , 2 , 1 , 7 , 4 , 1 , 1 , 0 , 1 , 8 , 90 , 1 , 6 , 6 , 8 , 38 , 0 , 4 , 10 , 5 , 3 , 4 , 16 , 7 , 6 , 7 , 3 , -   , 294 , 0 , 1 , 171 , 3 , 183 ," 1,056 ",,
"Retail trade, except of motor vehicles and motorcycles; repair of household goods",c21, 18 , 63 , 43 , 11 , 2 , 2 , 2 , 6 , 2 , 1 , 6 , 4 , 1 , 1 , 0 , 1 , 7 , 77 , 1 , 5 , 4 , 7 , 32 , 0 , 3 , 8 , 4 , 2 , 2 , 12 , 5 , 5 , 7 , 2 , -   , 235 , 0 , 0 , 145 , 6 , 156 , 886 ,,
Hotels and restaurants,c22, 5 , 56 , 2 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 11 , 3 , 9 , 6 , 1 , 6 , 0 , 2 , 1 , 2 , 5 , 1 , 18 , 5 , 5 , 3 , 6 , -   , 135 , 0 , 1 , 2 , 0 , 33 , 323 ,,
Inland transport,c23, 27 , 183 , 20 , 5 , 1 , 1 , 1 , 3 , 1 , 1 , 4 , 3 , 1 , 0 , 0 , 1 , 15 , 68 , 11 , 34 , 56 , 7 , 81 , 0 , 4 , 30 , 3 , 13 , 8 , 41 , 4 , 26 , 3 , 6 , -   , 388 , 0 , 1 , 57 , 1 , 147 ," 1,257 ",,
Water transport,c24, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , 0 , 0 , 0 , 0 ,,
Air transport,c25, 0 , 15 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 2 , 2 , 0 , 2 , 0 , 30 , 1 , 0 , 1 , 1 , 7 , 9 , 0 , 0 , 0 , -   , 15 , -   , -   , 0 , 0 , 90 , 178 ,,
Other supporting and auxiliary transport activities; activities of travel agencies,c26, 5 , 29 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 3 , 20 , 2 , 15 , 16 , 2 , 11 , 0 , 3 , 3 , 5 , 6 , 5 , 25 , 13 , 5 , 2 , 3 , -   , 106 , 0 , 4 , 8 , 0 , 17 , 314 ,,
Post and telecommunications,c27, 4 , 16 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 28 , 2 , 24 , 21 , 1 , 14 , 0 , 4 , 3 , 7 , 7 , 2 , 23 , 5 , 4 , 2 , 3 , -   , 152 , 0 , 0 , 0 , 0 , 7 , 335 ,,
Financial intermediation,c28, 140 , 138 , 11 , 3 , 0 , 4 , 1 , 3 , 0 , 0 , 6 , 2 , 1 , 0 , 0 , 1 , 14 , 46 , 6 , 18 , 21 , 2 , 39 , -   , 6 , 4 , 3 , 26 , 4 , 46 , 2 , 7 , 1 , 7 , -   , 113 , -   , -   , -   , -   , 9 , 686 ,,
Real estate activities,c29, 7 , 11 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 0 , 0 , 11 , 5 , 6 , 34 , 8 , 2 , 0 , 1 , 1 , 9 , 14 , 61 , 34 , 4 , 4 , 3 , 9 , -   , 701 , 0 , 2 , 0 , 0 , 31 , 966 ,,
Renting of M&Eq and other business activities,c30, 27 , 180 , 8 , 4 , 1 , 1 , 3 , 4 , 3 , 2 , 5 , 3 , 2 , 0 , 0 , 1 , 21 , 57 , 4 , 26 , 19 , 15 , 29 , 0 , 13 , 12 , 14 , 25 , 22 , 136 , 113 , 29 , 10 , 19 , -   , 136 , 2 , 42 , 83 , 1 , 121 ," 1,195 ",,
Public administration and defense; compulsory social security,c31, -   , 12 , 15 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 4 , 23 , 1 , 2 , 3 , 4 , 2 , -   , 3 , 1 , 4 , 3 , 1 , 15 , 2 , 9 , 7 , 3 , -   , 25 , -   , 752 , -   , 0 , -   , 895 ,,
Education,c32, 0 , 6 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , -   , 336 , 5 , 422 , 0 , 0 , 4 , 785 ,,
Health and social work,c33, 0 , 5 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 2 , 0 , 0 , 3 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , -   , 97 , 2 , 252 , 1 , 0 , 3 , 382 ,,
"Other community, social, and personal services",c34, 2 , 17 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 8 , 12 , 0 , 3 , 2 , 2 , 4 , 0 , 1 , 1 , 1 , 2 , 2 , 13 , 11 , 2 , 2 , 10 , -   , 95 , 35 , 66 , 6 , 0 , 20 , 326 ,,
Private households with employed persons,c35, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , 3 ,,
Imports,M, 114 , 774 , 114 , 38 , 4 , 13 , 19 , 21 , 18 , 13 , 48 , 33 , 12 , 11 , 0 , 6 , 68 , 761 , 11 , 71 , 62 , 42 , 405 , 0 , 44 , 102 , 59 , 35 , 26 , 182 , 86 , 50 , 63 , 32 , -   ," 1,407 ", 1 , 5 ," 1,535 ", 529 , -   ," 6,813 ",,
Intermediate input total,r60, 576 ," 2,018 ", 900 , 213 , 41 , 39 , 43 , 169 , 34 , 24 , 127 , 76 , 24 , 17 , 1 , 16 , 523 ," 1,804 ", 51 , 256 , 280 , 174 , 772 , 0 , 136 , 200 , 134 , 166 , 197 , 692 , 362 , 212 , 135 , 132 , -   ," 6,395 ", 55 ," 1,630 "," 4,740 "," 1,670 "," 4,048 "," 29,082 ",,
Taxes less subsidies on products,r99, 24 , 115 , 43 , 6 , 1 , 3 , 3 , 4 , 3 , 2 , 9 , 6 , 2 , 2 , 0 , 1 , (9), 133 , 2 , 12 , 12 , 14 , 65 , 0 , 7 , 16 , 8 , 7 , 6 , 33 , 15 , 12 , 11 , 6 , -   , 456 , 1 , 5 , 201 , 93 , -   ," 1,329 ",,
CIF / FOB adjustments on exports,r61, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Direct purchases abroad by residents,r62, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 259 , -   , -   , -   , -   , -   , 259 ,,
Purchases on the domestic territory by non-residents ,r63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , (146), -   , -   , -   , -   , -   , (146),,
Value added at basic prices,r64," 1,688 "," 1,870 ", 548 , 116 , 15 , 21 , 31 , 197 , 15 , 9 , 81 , 39 , 13 , 10 , 1 , 9 , 228 , 643 , 106 , 788 , 594 , 135 , 420 , 0 , 35 , 98 , 193 , 513 , 763 , 470 , 518 , 561 , 236 , 188 , 3 , -   , -   , -   , -   , -   , -   ," 11,153 ",,
International Transport Margins,trs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
TOTAL,r69," 2,287 "," 4,003 "," 1,490 ", 335 , 57 , 63 , 77 , 370 , 52 , 35 , 217 , 122 , 39 , 28 , 2 , 26 , 742 ," 2,580 ", 159 ," 1,056 ", 886 , 323 ," 1,257 ", 0 , 178 , 314 , 335 , 686 , 966 ," 1,195 ", 895 , 785 , 382 , 326 , 3 ," 6,965 ", 56 ," 1,636 "," 4,940 "," 1,763 "," 4,048 "," 41,676 ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
